gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
172123062344,w,12,Bxf4,2.2,f4,-287,88,-199,-88,direct,true,offer,0,0,sound,0
172058750248,b,27,Nd5,0,,508,45,553,-45,direct,true,allow,3.2,0,necessary,0
172030079298,w,7,Nc5,3,c5,-230,547,317,-547,direct,false,offer,0,0,sound,0
172030079298,w,22,Nc4,2,c4,480,223,703,-223,direct,true,offer,3.2,0,strong,0
172030079298,w,25,Qxa5,-3.2,,671,8,664,7,direct,true,allow,3.2,0,necessary,0
172029895986,w,15,cxb4,-2,b4,1017,537,1554,-537,direct,false,allow,3,1,strong,0
172022959596,b,10,Qf6,0,,-259,-62,-589,330,direct,false,allow,5,0,sound,0
172022959596,b,12,Qxb2,3,h6,-483,249,-234,-249,discovered,false,offer,0,0,sound,0
172022959596,b,13,Nf5,2,f5,-713,228,-485,-228,direct,true,offer,9,0,sound,0
172022959596,b,14,Rg8,5,g8,-1224,550,-674,-550,direct,true,offer,1,9,sound,0
172022959596,b,18,Qd1+,7.2,d1,-806,707,-99,-707,direct,true,offer,0,0,sound,0
172022959596,b,29,Rxf2,5,f2,-3571,2861,-710,-2861,direct,false,offer,1,0,sound,0
172022959596,b,31,b1=Q,9,b1,-99910,95839,-4071,-95839,promotion,false,offer,0,1,sound,0
172022527796,w,19,Qxd5,-3,,1000,45,1001,-1,direct,true,allow,3.2,0,necessary,0
172022527796,w,20,Qxf5,-3.2,,933,109,1042,-109,direct,true,allow,3,0,necessary,0
172022527796,w,21,Qxf6,0,,2037,78,1312,725,direct,false,allow,0,3,,0
172022527796,w,28,Qg8+,0,,800,143,943,-143,direct,true,allow,3,0,strong,0
172022527796,w,31,Rad1,0,,889,-37,783,106,direct,false,allow,3,0,,0
172022142658,b,12,Qxc8,-3,,594,276,870,-276,direct,true,allow,0,3,strong,0
172022142658,b,21,cxb2,2.2,d2,788,10,794,-6,discovered,false,offer,0,0.8,necessary,0
172022142658,b,36,Qf1+,5,e4,540,99440,99980,-99440,discovered,true,offer,0,0,strong,0
171939678892,b,16,Be7,0,,-541,1170,629,-1170,direct,false,allow,9,0,sound,0
171939678892,b,18,O-O-O,3.2,e7,-536,44,-492,-44,discovered,true,offer,0,0,sound,0
171939678892,b,20,d4,3.2,b5,-595,63,-532,-63,discovered,true,offer,0,1,sound,0
